Tr C(WL),Tr C(LEVEL)[LINEAR]
1200,9.30E-04
1200.2,9.32E-04
1200.4,9.18E-04
1200.6,9.30E-04
1200.8,9.34E-04
1201,9.23E-04
1201.2,9.31E-04
1201.4,9.36E-04
1201.6,9.26E-04
1201.8,9.31E-04
1202,9.35E-04
1202.2,9.28E-04
1202.4,9.28E-04
1202.6,9.31E-04
1202.8,9.24E-04
1203,9.21E-04
1203.2,9.23E-04
1203.4,9.18E-04
1203.6,9.14E-04
1203.8,9.15E-04
1204,9.12E-04
1204.2,9.08E-04
1204.4,9.07E-04
1204.6,9.06E-04
1204.8,9.02E-04
1205,8.98E-04
1205.2,9.00E-04
1205.4,8.97E-04
1205.6,8.92E-04
1205.8,8.97E-04
1206,8.93E-04
1206.2,8.88E-04
1206.4,8.94E-04
1206.6,8.92E-04
1206.8,8.86E-04
1207,8.96E-04
1207.2,8.97E-04
1207.4,8.90E-04
1207.6,9.01E-04
1207.8,9.02E-04
1208,8.92E-04
1208.2,9.04E-04
1208.4,9.02E-04
1208.6,8.89E-04
1208.8,9.03E-04
1209,9.01E-04
1209.2,8.86E-04
1209.4,9.01E-04
1209.6,8.95E-04
1209.8,8.79E-04
1210,8.95E-04
1210.2,8.84E-04
1210.4,8.67E-04
1210.6,8.83E-04
1210.8,8.70E-04
1211,8.53E-04
1211.2,8.72E-04
1211.4,8.55E-04
1211.6,8.39E-04
1211.8,8.59E-04
1212,8.35E-04
1212.2,8.22E-04
1212.4,8.41E-04
1212.6,8.15E-04
1212.8,8.04E-04
1213,8.23E-04
1213.2,7.94E-04
1213.4,7.89E-04
1213.6,8.06E-04
1213.8,7.75E-04
1214,7.77E-04
1214.2,7.91E-04
1214.4,7.60E-04
1214.6,7.66E-04
1214.8,7.78E-04
1215,7.49E-04
1215.2,7.61E-04
1215.4,7.70E-04
1215.6,7.41E-04
1215.8,7.58E-04
1216,7.67E-04
1216.2,7.39E-04
1216.4,7.61E-04
1216.6,7.62E-04
1216.8,7.37E-04
1217,7.64E-04
1217.2,7.60E-04
1217.4,7.36E-04
1217.6,7.68E-04
1217.8,7.56E-04
1218,7.38E-04
1218.2,7.72E-04
1218.4,7.47E-04
1218.6,7.38E-04
1218.8,7.69E-04
1219,7.32E-04
1219.2,7.34E-04
1219.4,7.57E-04
1219.6,7.13E-04
1219.8,7.27E-04
1220,7.36E-04
1220.2,6.92E-04
1220.4,7.16E-04
1220.6,7.09E-04
1220.8,6.72E-04
1221,7.01E-04
1221.2,6.81E-04
1221.4,6.54E-04
1221.6,6.85E-04
1221.8,6.54E-04
1222,6.41E-04
1222.2,6.67E-04
1222.4,6.27E-04
1222.6,6.30E-04
1222.8,6.45E-04
1223,6.05E-04
1223.2,6.21E-04
1223.4,6.25E-04
1223.6,5.89E-04
1223.8,6.15E-04
1224,6.04E-04
1224.2,5.79E-04
1224.4,6.09E-04
1224.6,5.82E-04
1224.8,5.72E-04
1225,5.97E-04
1225.2,5.63E-04
1225.4,5.70E-04
1225.6,5.83E-04
1225.8,5.48E-04
1226,5.68E-04
1226.2,5.67E-04
1226.4,5.40E-04
1226.6,5.66E-04
1226.8,5.49E-04
1227,5.36E-04
1227.2,5.59E-04
1227.4,5.33E-04
1227.6,5.36E-04
1227.8,5.50E-04
1228,5.23E-04
1228.2,5.37E-04
1228.4,5.38E-04
1228.6,5.16E-04
1228.8,5.36E-04
1229,5.23E-04
1229.2,5.12E-04
1229.4,5.30E-04
1229.6,5.10E-04
1229.8,5.11E-04
1230,5.21E-04
1230.2,4.99E-04
1230.4,5.11E-04
1230.6,5.10E-04
1230.8,4.94E-04
1231,5.11E-04
1231.2,5.00E-04
1231.4,4.93E-04
1231.6,5.07E-04
1231.8,4.90E-04
1232,4.95E-04
1232.2,5.01E-04
1232.4,4.85E-04
1232.6,4.98E-04
1232.8,4.93E-04
1233,4.84E-04
1233.2,4.97E-04
1233.4,4.87E-04
1233.6,4.87E-04
1233.8,4.95E-04
1234,4.84E-04
1234.2,4.91E-04
1234.4,4.94E-04
1234.6,4.85E-04
1234.8,4.95E-04
1235,4.91E-04
1235.2,4.86E-04
1235.4,4.98E-04
1235.6,4.88E-04
1235.8,4.91E-04
1236,4.97E-04
1236.2,4.86E-04
1236.4,4.97E-04
1236.6,4.96E-04
1236.8,4.89E-04
1237,5.02E-04
1237.2,4.92E-04
1237.4,4.95E-04
1237.6,5.02E-04
1237.8,4.89E-04
1238,5.02E-04
1238.2,4.99E-04
1238.4,4.93E-04
1238.6,5.07E-04
1238.8,4.95E-04
1239,5.01E-04
1239.2,5.06E-04
1239.4,4.93E-04
1239.6,5.08E-04
1239.8,4.99E-04
1240,4.98E-04
1240.2,5.09E-04
1240.4,4.94E-04
1240.6,5.06E-04
1240.8,5.04E-04
1241,4.96E-04
1241.2,5.10E-04
1241.4,4.97E-04
